ja,ru
"すみませんが、この席は空いていますか？","Скажи́те, пожа́луйста, э́то ме́сто свобо́дно?"
"お座りください。","Сади́тесь, пожа́луйста."
"私はこの本を読まなければならない。","Мне ну́жно чита́ть э́ту кни́гу."
"愛してる。","Я тебя́ люблю́."
"もちろん。","Коне́чно."
"気分はいかがですか？","Как вы себя́ чу́вствуете?"
"どんな種類のスポーツが好きですか？","Како́й вид спо́рта вам нра́вится?"
"その鞄を見せてください。おいくらですか？","Покажи́те, пожа́луйста, э́ту су́мку. Ско́лько она́ сто́ит?"
"あなたは何年生まれですか？私は1972年に生まれました。","В како́м году́ вы родили́сь? Я роди́лся в ты́сяча девятьсо́т се́мьдесят второ́м году́."
"私は1972年10月3日に生まれました。","Я роди́лся тре́тьего октября́ ты́сяча девятьсо́т се́мьдесят второ́го го́да."
"モスクワの冬は、東京より遥かに寒い。","Зимо́й в Москве́ гора́здо холодне́е, чем в То́кио."
"私は毎日電車で職場に通っています。","Ка́ждый день я е́зжу на рабо́ту на электри́чке."
"この日が来るのを夢見ていました。","Я мечта́л об э́том дне."
"彼は宇宙飛行士になることを夢見ている。","Он мечта́ет стать космона́втом."
"私は滅多に映画館に行きませんが、ときどき家で映画を見ます。","Я ре́дко хожу́ в кино́, но иногда́ смотрю́ фи́льмы до́ма."
"子供のころ、私はサッカー選手になることを夢見ていた。","В де́тстве я мечта́л стать футболи́стом."
"ごめんなさい。","Прости́те, пожа́луйста."
"すみません。","Извини́те, пожа́луйста."
"私は何よりもフィギュアスケートが好きです。","Я бо́льше всего́ люблю́ фигу́рное ката́ние."
"君は誰よりも美しい。","Ты краси́вее всех."
"明日いい天気になりますように。","Пусть за́втра бу́дет хоро́шая пого́да."
"私はウェブ開発者として働いています。","Я рабо́таю веб-разрабо́тчиком."
"いかがお過ごしですか？","Как пожива́ете?"
"私はベトナムで出会った美しい女性のことを覚えている。","Я по́мню о краси́вой же́нщине, кото́рую я встре́тил во Вьетна́ме."
"この建物は何と呼ばれていますか？","Как называ́ется э́то зда́ние?"
"私の町には、多くの外国人がいます。","В моём го́роде мно́го иностра́нцев."
"私の町は、夜が特に美しい。","Но́чью мой го́род осо́бенно краси́в."
"大多数の日本人は、外国人に対して好意的な態度を取ります。","Большинство́ япо́нцев отно́сится к иностра́нцам доброжела́тельно."
"お元気そうですね","Вы́ хорошо́ вы́глядите."
"美味しそう！","Вы́глядит вку́сно!"
"賛成です。","Я согла́сен."
"私は7月にフィギュアスケートの競技会に出場した。","В ию́ле я вы́ступил на соревнова́ниях по фигу́рному ката́нию."
"喜んで！","С удово́льствием!"
"このプロジェクトには彼は欠かせない人だ。","Для э́того прое́кта о́н челове́к ну́жный."
